City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,vetlanda,57.4289,15.0776,1.14,98,100,3.62,SE,1680211228
126,beira,-19.8436,34.8389,23.05,100,20,2.57,MZ,1680211228
127,tazovskiy,67.4667,78.7,-28.71,100,10,3.24,RU,1680211228
128,mahibadhoo,3.7833,72.9667,27.56,78,100,3.53,MV,1680211229
129,punta cardon,11.6581,-70.215,27.04,67,1,14.36,VE,1680211229
130,northam,51.0333,-4.2167,10.9,93,100,11.11,GB,1680211229
131,gap,44.6667,6.0,4.91,65,94,0.26,FR,1680211229
132,entre rios,-11.9419,-38.0844,23.24,77,1,2.47,BR,1680211229
133,ancud,-41.8697,-73.8203,11.63,62,83,1.29,CL,1680211073
134,hithadhoo,-0.6,73.0833,27.91,76,11,3.98,MV,1680211229
135,sao filipe,14.8961,-24.4956,23.73,76,32,2.69,CV,1680211230
136,lianzhou,24.7811,112.3825,15.49,95,100,0.91,CN,1680211230
137,gigmoto,13.7796,124.39,25.43,85,31,2.53,PH,1680211230
138,sitka,57.0531,-135.33,5.94,56,100,1.54,US,1680211230
139,diamantino,-14.4086,-56.4461,27.33,74,82,2.21,BR,1680211230
140,kalya,12.9793,77.1806,23.97,61,87,3.0,IN,1680211230
141,piacabucu,-10.4056,-36.4344,25.9,80,9,3.81,BR,1680211230
142,jumla,29.2747,82.1838,5.69,72,48,2.27,NP,1680211230
143,kaitangata,-46.2817,169.8464,11.51,85,97,1.38,NZ,1680211230
144,abbeville,50.1,1.8333,13.47,85,100,8.46,FR,1680211231
145,xichang,27.8964,102.2634,11.03,85,54,0.6,CN,1680211231
146,severo-kurilsk,50.6789,156.125,0.41,73,4,2.1,RU,1680211231
147,sioux lookout,50.1001,-91.917,1.04,44,75,3.6,CA,1680211231
148,guerrero negro,27.9769,-114.0611,17.19,46,6,8.09,MX,1680211231
149,juntas,10.2809,-84.9595,29.24,29,5,5.21,CR,1680211231
150,lebu,-37.6167,-73.65,14.41,72,63,6.99,CL,1680211064
151,el dorado,38.7666,-120.5177,8.49,88,87,0.45,US,1680211231
152,maniitsoq,65.4167,-52.9,-8.87,74,0,2.94,GL,1680211232
153,fruitville,27.3298,-82.4576,30.99,43,0,5.14,US,1680211232
154,bengkulu,-3.8004,102.2655,22.91,88,100,1.3,ID,1680211232
155,miri,4.4148,114.0089,24.08,94,20,0.51,MY,1680211232
156,catuday,16.2923,119.8062,25.26,83,92,2.98,PH,1680211233
157,road town,18.4167,-64.6167,28.05,65,20,5.14,VG,1680211233
158,barranca,-10.75,-77.7667,25.86,72,70,4.02,PE,1680211233
159,igarka,67.4667,86.5833,-24.65,97,43,4.98,RU,1680211233
160,kovdor,67.5662,30.4758,-12.34,95,72,3.5,RU,1680211233
161,waiouru,-39.4833,175.6667,11.5,53,3,0.67,NZ,1680211233
162,la ronge,55.1001,-105.2842,-3.86,39,75,3.6,CA,1680211136
163,santa catarina de tepehuanes,25.35,-105.7333,25.08,13,98,11.29,MX,1680211233
164,airai,-8.9266,125.4092,15.33,95,100,1.0,TL,1680211233
165,sovetskiy,61.3614,63.5842,-7.97,87,78,3.49,RU,1680211233
166,werda,-25.2667,23.2833,25.19,33,95,1.11,BW,1680211233
167,ostrovnoy,68.0531,39.5131,-8.65,89,67,7.15,RU,1680211233
168,aripuana,-9.1667,-60.6333,26.23,87,73,0.8,BR,1680211233
169,sao jose da coroa grande,-8.8978,-35.1478,25.75,78,4,2.71,BR,1680211234
170,butaritari,3.0707,172.7902,27.77,78,98,5.35,KI,1680211234
171,usinsk,65.9939,57.5281,-1.85,74,100,8.22,RU,1680211234
172,nizwa,22.9333,57.5333,22.37,32,0,2.39,OM,1680211234
173,mount barker,-35.0667,138.8667,13.95,87,36,1.82,AU,1680211234
174,nikolskoye,59.7035,30.7861,-2.06,97,73,1.93,RU,1680211234
175,vila franca do campo,37.7167,-25.4333,16.23,97,100,3.46,PT,1680211234
176,necochea,-38.5473,-58.7368,18.8,39,46,4.12,AR,1680211235
177,carnarvon,-24.8667,113.6333,23.01,73,100,3.79,AU,1680211235
178,zelenogorskiy,55.0333,87.0,-13.15,98,32,0.36,RU,1680211235
179,samarai,-10.6167,150.6667,28.04,76,82,1.58,PG,1680211235
180,port hardy,50.6996,-127.4199,8.1,66,40,4.12,CA,1680211048
181,meulaboh,4.1363,96.1285,24.28,87,98,1.94,ID,1680211235
182,salinas,36.6777,-121.6555,14.98,57,40,5.66,US,1680211235
183,nanortalik,60.1432,-45.2371,-4.77,79,3,3.29,GL,1680211235
184,aklavik,68.2191,-135.0107,-11.0,57,20,4.63,CA,1680211235
185,labuhan,-6.8844,112.2051,25.67,86,100,2.84,ID,1680211235
186,pevek,69.7008,170.3133,-15.34,88,100,4.2,RU,1680211236
187,inhambane,-23.865,35.3833,22.66,82,7,2.38,MZ,1680211236
188,poum,-20.2333,164.0167,26.94,75,48,6.53,NC,1680211236
189,pilar,-9.5972,-35.9567,26.96,82,7,2.25,BR,1680211236
190,itarema,-2.9248,-39.9167,26.01,81,33,4.06,BR,1680211236
191,inuvik,68.3499,-133.7218,-10.52,48,20,6.17,CA,1680211236
192,norman wells,65.282,-126.8329,-8.98,62,40,7.72,CA,1680211236
193,nanakuli,21.3906,-158.1547,28.26,67,0,6.69,US,1680211236
194,ternate,0.8,127.4,26.53,81,75,2.2,ID,1680211237
195,champoton,19.35,-90.7167,31.79,42,0,4.45,MX,1680211237
196,yulara,-25.2406,130.9889,20.43,51,100,7.01,AU,1680211237
197,opuwo,-18.0607,13.84,22.37,40,85,2.49,NA,1680211237
198,kerema,-7.9631,145.7785,25.73,84,89,1.65,PG,1680211237
199,agirish,61.9247,63.0231,-7.68,85,80,4.09,RU,1680211238
200,quakenbruck,52.6833,7.95,12.25,81,29,6.65,DE,1680211238
201,pangody,65.85,74.4859,-26.83,100,33,1.18,RU,1680211238
202,fugen,47.35,11.85,8.14,99,87,2.08,AT,1680211238
203,tevriz,57.509,72.4042,-11.46,94,6,0.51,RU,1680211238
204,constitucion,-35.3333,-72.4167,19.23,43,67,7.0,CL,1680211238
205,vostok,46.4856,135.8833,-4.33,81,10,1.7,RU,1680211238
206,coahuayana,18.7333,-103.6833,31.69,32,100,3.19,MX,1680211238
207,geraldton,-28.7667,114.6,19.23,94,40,2.57,AU,1680211238
208,hohhot,40.8106,111.6522,4.16,35,0,2.0,CN,1680211239
209,saint-pierre,-21.3393,55.4781,25.82,78,0,2.06,RE,1680211239
210,rudbar,30.15,62.6,22.78,30,33,1.88,AF,1680211239
211,luderitz,-26.6481,15.1594,16.53,70,2,7.48,NA,1680211239
212,qaanaaq,77.484,-69.3632,-22.83,69,22,1.79,GL,1680211239
213,mafeteng,-29.823,27.2374,11.71,35,20,1.39,LS,1680211239
214,ucluelet,48.9329,-125.5528,9.49,77,96,0.45,CA,1680211239
215,beringovskiy,63.05,179.3167,-12.52,88,43,2.58,RU,1680211240
216,elda,38.4778,-0.7916,22.4,28,57,3.52,ES,1680211240
217,emba,48.8264,58.1442,10.32,64,100,12.63,KZ,1680211240
218,saint-philippe,-21.3585,55.7679,25.77,86,61,4.7,RE,1680211240
219,sampagar,7.5139,124.9553,21.29,92,99,1.28,PH,1680211240
220,hervey bay,-25.2986,152.8535,20.73,57,79,4.15,AU,1680211209
221,klaksvik,62.2266,-6.589,7.51,98,100,12.91,FO,1680211240
222,oliveira dos brejinhos,-12.3169,-42.8961,28.2,45,98,1.99,BR,1680211240
223,campos gerais,-21.235,-45.7586,21.11,84,100,2.07,BR,1680211240
224,narsaq,60.9167,-46.05,0.12,78,0,1.17,GL,1680211240
225,vao,-22.6667,167.4833,25.03,80,17,4.69,NC,1680211241
226,fukue,32.6881,128.8419,14.79,68,100,5.48,JP,1680211241
227,sarangani,5.4033,125.4636,27.59,79,99,6.31,PH,1680211241
228,west wendover,40.7391,-114.0733,6.56,29,40,9.77,US,1680211241
229,anadyr,64.75,177.4833,-14.72,78,20,3.0,RU,1680211241
230,mehamn,71.0357,27.8492,-3.03,93,75,2.57,NO,1680211241
231,kruisfontein,-34.0033,24.7314,12.71,95,4,2.34,ZA,1680211242
232,tilichiki,60.4667,166.1,-11.25,96,97,0.09,RU,1680211242
233,port lincoln,-34.7333,135.8667,15.13,80,91,3.01,AU,1680211242
234,bay-khaak,51.1667,94.5,-7.14,70,100,6.14,RU,1680211242
235,rocha,-34.4833,-54.3333,17.91,84,100,3.05,UY,1680211242
236,sobolevo,54.4299,31.8996,-2.85,94,13,1.76,RU,1680211242
237,champerico,14.3,-91.9167,33.3,58,7,5.92,GT,1680211242
238,bregovo,44.1517,22.6425,9.69,68,76,1.11,BG,1680211242
239,yeppoon,-23.1333,150.7333,22.88,88,6,2.1,AU,1680211242
240,makakilo city,21.3469,-158.0858,27.47,68,0,7.2,US,1680211243
241,manakara,-22.1333,48.0167,23.71,93,100,2.28,MG,1680211243
242,itoman,26.1247,127.6694,22.21,94,75,4.12,JP,1680211243
243,waipawa,-41.4122,175.5153,11.5,90,97,2.06,NZ,1680211243
244,thompson,55.7435,-97.8558,-7.91,41,20,5.14,CA,1680211243
245,alexandria,31.2156,29.9553,14.07,50,6,6.47,EG,1680210895
246,namatanai,-3.6667,152.4333,25.46,84,100,2.09,PG,1680211243
247,ridgecrest,35.6225,-117.6709,11.35,48,75,8.23,US,1680211078
248,ribeira grande,38.5167,-28.7,15.43,89,100,1.34,PT,1680211243
249,san salvador,13.6894,-89.1872,31.92,37,20,4.63,SV,1680211156
250,kodinsk,58.6881,99.1844,-12.41,91,96,2.75,RU,1680211244
251,coffs harbour,-30.3,153.1333,14.98,72,0,2.57,AU,1680211244
252,kismayo,-0.3582,42.5454,27.6,76,93,6.18,SO,1680211244
253,qianguo,45.1171,124.8568,7.1,45,0,2.72,CN,1680211244
254,davenda,53.5556,119.317,-3.87,96,99,0.7,RU,1680211245
255,inirida,3.8653,-67.9239,30.69,61,80,0.58,CO,1680211112
256,tarauaca,-8.1614,-70.7656,31.55,54,88,0.13,BR,1680211245
257,calama,-22.4667,-68.9333,23.27,40,0,11.32,CL,1680211245
258,cabo san lucas,22.8909,-109.9124,28.67,36,75,3.6,MX,1680211005
259,fairbanks,64.8378,-147.7164,0.05,49,100,0.0,US,1680211245
260,chuy,-33.6971,-53.4616,19.51,92,100,4.48,UY,1680211245
261,varzea da palma,-17.5981,-44.7308,27.28,33,2,1.9,BR,1680211245
262,korhogo,9.45,-5.6333,27.77,52,18,2.56,CI,1680211245
263,nouadhibou,20.931,-17.0347,24.99,47,0,5.66,MR,1680211246
264,katsuura,35.1333,140.3,14.47,80,100,3.29,JP,1680211246
265,dunhua,43.3725,128.2425,3.5,49,0,1.65,CN,1680211246
266,shingu,33.7333,135.9833,11.57,60,100,1.0,JP,1680211246
267,porto novo,6.4965,2.6036,28.9,81,100,3.38,BJ,1680211246
268,guisa,20.255,-76.5386,33.43,28,0,4.11,CU,1680211246
269,namibe,-15.1961,12.1522,23.31,80,100,2.12,AO,1680211246
270,isangel,-19.55,169.2667,26.36,77,100,1.95,VU,1680211246
271,pisco,-13.7,-76.2167,26.03,69,75,4.63,PE,1680211246
272,maralal,1.0968,36.698,15.91,81,27,2.69,KE,1680211246
273,cherskiy,68.75,161.3,-10.83,95,99,3.44,RU,1680211247
274,port moresby,-9.4431,147.1797,23.68,94,20,2.57,PG,1680211247
275,dzaoudzi,-12.7887,45.2699,25.94,94,0,0.0,YT,1680211247
276,mount gambier,-37.8333,140.7667,13.11,84,93,1.94,AU,1680211247
277,cayenne,4.9333,-52.3333,27.02,78,100,3.6,GF,1680211039
278,vanavara,60.34,102.2797,-24.07,100,52,1.15,RU,1680211247
279,montego bay,18.4712,-77.9188,28.89,65,20,9.26,JM,1680210966
280,monroe,43.1501,-77.6831,4.64,53,75,6.17,US,1680210950
281,san rafael,-34.6177,-68.3301,24.25,21,1,4.12,AR,1680211235
282,la rioja,42.25,-2.5,10.88,49,100,5.39,ES,1680211247
283,troy,42.6056,-83.1499,9.07,46,0,3.6,US,1680211134
284,yagodnoye,62.55,149.6667,-11.62,90,84,1.97,RU,1680211247
285,kitob,39.0843,66.8332,16.22,55,14,1.51,UZ,1680211248
286,talaya,61.3833,152.75,-8.92,81,84,3.96,RU,1680211249
287,anloga,5.7947,0.8973,28.25,79,54,4.08,GH,1680211249
288,asau,46.4333,26.4,3.51,63,77,2.89,RO,1680211249
289,sulangan,11.1373,123.7228,26.89,78,100,4.9,PH,1680211249
290,nenjiang,49.1833,125.2167,3.06,55,2,1.69,CN,1680211249
291,rawson,-43.3002,-65.1023,9.23,79,100,13.19,AR,1680211249
292,lompoc,34.6391,-120.4579,15.29,68,20,7.2,US,1680210769
293,zdvinsk,54.7021,78.661,-8.36,89,8,3.68,RU,1680211249
294,wajir,1.7471,40.0573,31.65,43,94,2.41,KE,1680211249
295,ukiah,39.1502,-123.2078,15.24,62,100,2.68,US,1680211249
296,mackay,-21.15,149.2,26.49,86,60,2.97,AU,1680211177
